,category,filename,text,movie_name
0,plot,subjectivity_html/obj/2002/Abandon.html,"A senior at an elite college (Katie Holmes), already under severe pressure to complete her thesis and land a prestigious job, must confront the sudden reappearance of her old boyfriend (Charlie Hunnam), after his two year, unexplained absence...

Catherine Burke (Holmes) is under pressure. She faces exams, completion of her thesis, and a competitive interview process, all of which is compounded when a police detective, Wade Handler (Bratt), begins investigating the two year-old disappearance of her boyfriend, Embry Langan (Hunnam), a young man whose memory haunts and obsesses her. As the investigation continues, Catherine is forced to choose between her past passions and new possibilities, even as Handler is discovering surprising new facts about Embry and his possible connection to another disappearance from campus.",abandon
1,plot,subjectivity_html/obj/2002/About+a+Boy.html,"Will Lightman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.

Based on Nick Hornby's popular British novel, About A Boy is a comedy-drama starring Hugh Grant as Will, a rich, child-free and irresponsible Londoner in his thirties who, in search of available women, invents an imaginary son and starts attending single parent meetings. As a result of one of his liaisons, he meets Marcus, an odd 12-year-old boy with problems at school. Gradually, Will and Marcus become friends, and as Will teaches Marcus how to be a cool kid, Marcus helps Will to finally grow up.",about_a_boy
2,plot,subjectivity_html/obj/2002/About+Schmidt.html,"Warren Schmidt (Nicholson) is forced to deal with an ambiguous future as he enters retirement. Soon after, his wife passes away and he must come to terms with his daughter's marriage to a man he does not care for and the failure that his life has become.",about_schmidt
3,plot,subjectivity_html/obj/2002/Adaptation.html,"An account of screenwriter Charlie Kaufman's (Cage) attempt to adapt Susan Orlean's (Streep) non-fiction book The Orchid Thief, which is the story of John Laroche (Cooper), a plant dealer who clones rare orchids then sells them to collectors. We see the action of the book as we see Kaufman struggle to adapt it into a movie. This is presumably a somewhat true story, as Charlie Kaufman is the real life screenwriter of Adaptation.",adaptation
4,plot,subjectivity_html/obj/2002/Ali+G+Indahouse.html,"Ali G unwittingly becomes a pawn in the evil Chancellor's plot to overthrow the Prime Minister of Great Britain. However, instead of bringing the Prime Minister down, Ali is embraced by the nation as the voice of youth and 'realness', making the Prime Minister and his government more popular than ever.",ali_g_indahouse
5,plot,subjectivity_html/obj/2002/All+About+the+Benjamins.html,"A bounty hunter is on the trail of a conman who skipped bail. The two wind up in a deserted warehouse where they witness a diamond scam in action, caught in the midst they put their differences aside to team up and detain the looters.",all_about_the_benjamins
6,plot,subjectivity_html/obj/2002/All+or+Nothing.html,"Penny's love for her partner, taxi-driver Phil, has run dry. He is a gentle, philosophical guy, and she works on the checkout at a supermarket. Their daughter Rachel cleans in a home for elderly people, and their son Rory is unemployed and aggressive. The joy has gone out of Phil's and Penny's life, but when an unexpected tragedy occurs, they are brought together to rediscover their love. All or Nothing is set on a London working-class housing estate over a long weekend, and also tells the stories of a range of Phil and Penny's neighbors, some of whom become involved in the family's lives, and all of whom experience an emotional journey.",all_or_nothing
7,plot,subjectivity_html/obj/2002/Analyze+That.html,"The mafia's Paul Vitti (De Niro) is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel (Crystal) for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.",analyze_that
8,plot,subjectivity_html/obj/2002/Antwone+Fisher.html,"A sailor (Derek Luke) prone to violent outbursts is sent to a naval psychiatrist (Washington) for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.",antwone_fisher
9,plot,subjectivity_html/obj/2002/Ararat.html,"A film within a film, this is a contemporary story of the making of a historical epic about the Armenian holocaust between 1915 and 1918. The story line follows how making the film transforms the life of an 18-year-old man hired as a driver on the production.",ararat
